Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
New Study Challenges Methane Leak Estimates: [National Desk],"  The new paper describes a pattern of low measurements of leaks by the Bacharach Hi Flow Sampler, a device approved by the Environmental Protection Agency for its required monitoring of natural gas facilities and in use around the world.",1701282321,Newspapers,"Schwartz, John", NYTIAO," Environmental Defense Fund
541720
813312 , Environmental Protection Agency--EPA
924110 , University of Texas
611310"," Copyright New York Times Company Aug 5, 2015", NEWSPAPER," Aug 5, 2015",0362-4331, English,, A.10," New York, N.Y.","Aug 5, 2015",New York Times,2015,https://search.proquest.com/docview/1701282321?accountid=14902, A.10," Methane , Natural gas , Studies , Sensors , Emissions , Leaking of information , Texas",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=New+Study+Challenges+Methane+Leak+Estimates%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-08-05&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Schwartz%2C+John&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
5 Questions About Obama's Climate Change Plan: [National Desk],"  The Supreme Court upheld the agency's finding that carbon dioxide in large amounts did qualify as a dangerous pollutant, since it contributes to climate change, providing the Obama administration with both the legal authority and the legal obligation to regulate carbon dioxide emissions.",1700875666,Newspapers,"Davenport, Coral", NYTIAO," Congress
921120 , Environmental Protection Agency--EPA
924110"," Copyright New York Times Company Aug 4, 2015", NEWSPAPER," Aug 4, 2015",0362-4331, English, English, A.15," New York, N.Y.","Aug 4, 2015",New York Times,2015,https://search.proquest.com/docview/1700875666?accountid=14902, A.15," Environmental protection , Climate change , Emissions , Pollutants , Industrial plant emissions , Regulation , Presidents , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=5+Questions+About+Obama%27s+Climate+Change+Plan%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-08-04&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Davenport%2C+Coral&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Obama's Flexible Fix: Commentary,"  The answer was that the administration of the first President George Bush, working hand in glove with the Environmental Defense Fund, devised a market-based plan, now known as cap-and-trade, to reduce sulfur dioxide emissions. Or they can do all of the above. Since many of these things are already happening, the new government policy is really just giving industry an extra shove in the right direction.",1700875640,Newspapers,"Nocera, Joe", NYTIAO," Congress
921120 , Environmental Defense Fund
541720
813312 , Environmental Protection Agency--EPA
924110"," Copyright New York Times Company Aug 4, 2015", Commentary," Aug 4, 2015",0362-4331, English, English, A.23," New York, N.Y.","Aug 4, 2015",New York Times,2015,https://search.proquest.com/docview/1700875640?accountid=14902, A.23," Emissions trading , Environmental protection , Electric utilities , Carbon , Industrial plant emissions , Electricity distribution , Coal-fired power plants , Electric rates , Energy policy , California , United States--US , Obama, Barack , Bryant, Phil , Krupp, Fred",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Obama%27s+Flexible+Fix%3A+Commentary&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-08-04&amp;volume=&amp;issue=&amp;spage=A.23&amp;au=Nocera%2C+Joe&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Move to Fight Climate Plan Started Early: [National Desk],"  According to a person present at that July meeting, the bill would allow states to create funds, which could be funded by corporate donations, to support legal challenges to the climate change rules.",1700875559,Newspapers,"Davenport, Coral;Julie Hirschfeld Davis", NYTIAO," Congress
921120 , American Coalition for Clean Coal Electricity
813312
813910 , US Chamber of Commerce
813910"," Copyright New York Times Company Aug 4, 2015", News," Aug 4, 2015",0362-4331, English, English, A.1," New York, N.Y.","Aug 4, 2015",New York Times,2015,https://search.proquest.com/docview/1700875559?accountid=14902, A.1," Climate change , Regulation , Coal , Lobbyists , United States--US , Bush, George W",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Move+to+Fight+Climate+Plan+Started+Early%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-08-04&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Davenport%2C+Coral%3BJulie+Hirschfeld+Davis&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"A Tough, Achievable Climate Plan: [Editorial]","  For more than a decade, carbon emissions from power plants have been declining -- a result of a shift in energy generation from coal to cheap and abundant natural gas, regulation of other pollutants, like mercury, which has caused utilities to shut down older plants, and investments in cleaner fuels and energy efficiency.",1700875531,Newspapers,, NYTIAO," Congress
921120 , United Nations--UN
928120"," Copyright New York Times Company Aug 4, 2015", Editorial," Aug 4, 2015",0362-4331, English, English, A.22," New York, N.Y.","Aug 4, 2015",New York Times,2015,https://search.proquest.com/docview/1700875531?accountid=14902, A.22," Emissions , Environmental protection , Carbon , Industrial plant emissions , Alternative energy sources , Energy resources , Natural gas , Editorials , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=A+Tough%2C+Achievable+Climate+Plan%3A+%5BEditorial%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-08-04&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Obama Policy Could Force Robust Climate Discussion From '16 Candidates: [National Desk],"  Because Republican doubters and defeatists -- including every Republican candidate for president -- won't offer any credible solution.""",1700593256,Newspapers,"Davenport, Coral", NYTIAO," Environmental Protection Agency--EPA
924110"," Copyright New York Times Company Aug 3, 2015", News," Aug 3, 2015",0362-4331, English, English, A.13," New York, N.Y.","Aug 3, 2015",New York Times,2015,https://search.proquest.com/docview/1700593256?accountid=14902, A.13," Presidential elections , Climate change , Environmental protection , Candidates , Emissions , Industrial plant emissions , Politics , Environmental policy , Coal-fired power plants , Debates , United States--US , Steyer, Tom , Romney, W Mitt , Clinton, Hillary , Obama, Barack",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Obama+Policy+Could+Force+Robust+Climate+Discussion+From+%2716+Candidates%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-08-03&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Davenport%2C+Coral&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Obama to Unveil Tougher Climate Plan With His Legacy in Mind: [National Desk],"  If they withstand the expected legal challenges, the regulations will set in motion sweeping policy changes that could shut down hundreds of coal-fired power plants, freeze construction of new coal plants and create a boom in the production of wind and solar power and other renewable energy sources.",1700522448,Newspapers,"Davenport, Coral;Gardiner, Harris", NYTIAO,," Copyright New York Times Company Aug 2, 2015", News," Aug 2, 2015",0362-4331, English, English, A.1," New York, N.Y.","Aug 2, 2015",New York Times,2015,https://search.proquest.com/docview/1700522448?accountid=14902, A.1," Emissions , Climate change , Coal-fired power plants , Environmental regulations , Electric utilities , United States--US , Obama, Barack",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Obama+to+Unveil+Tougher+Climate+Plan+With+His+Legacy+in+Mind%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-08-02&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Davenport%2C+Coral%3BGardiner%2C+Harris&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Mrs. Clinton Joins the Climate Battle: [Editorial],"  Renewable energy sources overall furnish just 13 percent of America's electricity (natural gas, coal and nuclear power account for nearly all the rest), with hydropower at 6 percent, wind power at 4.4 percent and the remainder coming from geothermal, biomass and solar (less than 1 percent).",1700266644,Newspapers,, NYTIAO,," Copyright New York Times Company Jul 31, 2015", Editorial," Jul 31, 2015",0362-4331, English, English, A.24," New York, N.Y.","Jul 31, 2015",New York Times,2015,https://search.proquest.com/docview/1700266644?accountid=14902, A.24," Alternative energy sources , Environmental protection , Wind farms , Tax incentives , Energy resources , Climate change , Coal-fired power plants , Offshore , Editorials , Presidential elections , United States--US , Clinton, Hillary",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Mrs.+Clinton+Joins+the+Climate+Battle%3A+%5BEditorial%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-07-31&amp;volume=&amp;issue=&amp;spage=A.24&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Later Deadline Expected in Obama's Climate Plan: [National Desk],"  The rules take aim at coal-fired power plants, the largest source of greenhouse emissions, and are intended to spur a transformation of the nation's power sector from fossil fuels to renewable sources such as wind and solar.",1699462908,Newspapers,"Davenport, Coral", NYTIAO," Environmental Protection Agency--EPA
924110"," Copyright New York Times Company Jul 29, 2015", News," Jul 29, 2015",0362-4331, English, English, A.14," New York, N.Y.","Jul 29, 2015",New York Times,2015,https://search.proquest.com/docview/1699462908?accountid=14902, A.14," Electric utilities , Climate change , Emissions , Environmental protection , Global warming , United States--US , McConnell, Mitch , Obama, Barack",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Later+Deadline+Expected+in+Obama%27s+Climate+Plan%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-07-29&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Davenport%2C+Coral&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Pipeline Stalls Clinton's Environmental Momentum: [National Desk],"  The day after Mrs. Clinton put forth a detailed plan that would go further than any president in using the government to protect the environment and produce solar and wind energy, she found herself once again stumped on the question of whether or not she would support the Keystone XL Pipeline project, which would bring Canadian oil to Texas.",1699462797,Newspapers,"Chozick, Amy", NYTIAO,," Copyright New York Times Company Jul 29, 2015", News," Jul 29, 2015",0362-4331, English, English, A.14," New York, N.Y.","Jul 29, 2015",New York Times,2015,https://search.proquest.com/docview/1699462797?accountid=14902, A.14," Climate change , Presidential elections , Environmental protection , United States--US , Sanders, Bernard , Clinton, Hillary",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Pipeline+Stalls+Clinton%27s+Environmental+Momentum%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2015-07-29&amp;volume=&amp;issue=&amp;spage=A.14&amp;au=Chozick%2C+Amy&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
