Title,abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Republicans Care About the Climate: [Op-Ed],,2161341322,Newspapers,"Hochschild, Arlie;Hochschild, David",," California Energy Commission
926130 , ConocoPhillips Co
211111 , Department of Defense
928110 , Monmouth University
611310 , Facebook Inc
518210
519130 , Wall Street Journal
511110 , ABC Inc
515120 , New York Times Co
511110
511120
515112
515120 , George Mason University
611310 , Exxon Mobil Corp
211111
447110 , Congress
921120 , Twitter Inc
519130 , University of Colorado
611310 , Intergovernmental Panel on Climate Change
541712
928120 , NBC News Channel
515120 , World Meteorological Organization
924120"," Copyright New York Times Company Dec 30, 2018", Commentary," Dec 30, 2018",0362-4331, English, English, SR.7," New York, N.Y.","Dec 30, 2018",New York Times,2018,https://search.proquest.com/docview/2161341322?accountid=14902, SR.7," Floods , Environmental tax , Energy , Firearm laws & regulations , Greenhouse effect , Climate change , Fossil fuels , Carbon , Global warming , Coal-fired power plants , Environmental protection , Trump, Donald J , Louisiana , New Jersey , New York , United States--US , California , Faulconer, Kevin",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Republicans+Care+About+the+Climate%3A+%5BOp-Ed%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-30&amp;volume=&amp;issue=&amp;spage=SR.7&amp;au=Hochschild%2C+Arlie%3BHochschild%2C+David&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Trump Imperils the Planet: [Editorial],,2161019987,Newspapers,,," Environmental Protection Agency--EPA
924110 , Facebook Inc
518210
519130 , New York Times Co
511110
511120
515112
515120 , United Nations--UN
928120 , Exxon Mobil Corp
211111
447110 , Twitter Inc
519130 , Congress
921120 , Arctic National Wildlife Refuge
712190
924120"," Copyright New York Times Company Dec 28, 2018", Editorial," Dec 28, 2018",0362-4331, English, English,," New York, N.Y.","Dec 28, 2018",New York Times,2018,https://search.proquest.com/docview/2161019987?accountid=14902, A.22," Emissions , Presidents , Greenhouse effect , Industrial plant emissions , Climate change , Nuclear power plants , Natural gas , Solar energy , Greenhouse gases , Fossil fuels , Economic growth , Carbon dioxide , Coal-fired power plants , Trump, Donald J , Duda, Andrzej , Russia , Arctic region , Alaska , Kerry, John F , Kuwait , Australia , Zinke, Ryan , Poland , Brazil , Pruitt, Scott , Obama, Barack , United States--US , New York , Saudi Arabia , Murkowski, Lisa , Gore, Albert Jr , Germany , China , California , Clinton, Bill , Bolsonaro, Jair",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Trump+Imperils+the+Planet%3A+%5BEditorial%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-28&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
78 Environmental Rules on the Way Out Under Trump (And 11 Rules Reinstated After Challenges): [SpecialSections],,2160679144,Newspapers,"Popovich, Nadja;Pierre-Louis, Kendra;Albeck-Ripka, Livia",," Environmental Protection Agency--EPA
924110 , Federal Energy Regulatory Commission--FERC
926110
926130 , National Oceanic & Atmospheric Administration--NOAA
924120 , US Chamber of Commerce
813910"," Copyright New York Times Company Dec 27, 2018", News," Dec 27, 2018",0362-4331, English, English,," New York, N.Y.","Dec 27, 2018",New York Times,2018,https://search.proquest.com/docview/2160679144?accountid=14902, F.12," Government agencies , Emissions , Natural resources , Environmental regulations , Roads & highways , Transportation planning , Air pollution , Energy , Wilderness areas , Tires , Environmental policy , Industrial plant emissions , Climate change , Litigation , Wildlife conservation , Power plants , Greenhouse gases , Carbon dioxide , Environmental protection , Infrastructure , Emission standards , National parks , Coal , Regulatory reform , United States--US , Trump, Donald J",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=78+Environmental+Rules+on+the+Way+Out+Under+Trump+%28And+11+Rules+Reinstated+After+Challenges%29%3A+%5BSpecialSections%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-27&amp;volume=&amp;issue=&amp;spage=F.12&amp;au=Popovich%2C+Nadja%3BPierre-Louis%2C+Kendra%3BAlbeck-Ripka%2C+Livia&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Easing a 'War on Coal': [SpecialSections],,2160678224,Newspapers,"Lipton, Eric",,," Copyright New York Times Company Dec 27, 2018", News," Dec 27, 2018",0362-4331, English, English,," New York, N.Y.","Dec 27, 2018",New York Times,2018,https://search.proquest.com/docview/2160678224?accountid=14902, F.6," Regulation , Asthma , Emissions , Environmental regulations , Air pollution , Wilderness areas , Outdoor air quality , Environmental protection , Industrial plant emissions , Shutdowns , National parks , Coal , Litigation , Power plants , Texas , United States--US , Arkansas",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Easing+a+%27War+on+Coal%27%3A+%5BSpecialSections%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-27&amp;volume=&amp;issue=&amp;spage=F.6&amp;au=Lipton%2C+Eric&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Talking Climate in a Polish Coal Town: [Foreign Desk],,2160677478,Newspapers,"Plumer, Brad",," New York Times Co
511110
511120
515112
515120 , United Nations--UN
928120 , Twitter Inc
519130"," Copyright New York Times Company Dec 27, 2018", News," Dec 27, 2018",0362-4331, English, English,," New York, N.Y.","Dec 27, 2018",New York Times,2018,https://search.proquest.com/docview/2160677478?accountid=14902, A.2," Unemployment , Mines , Fossil fuels , Coal mining , Environmental policy , Climate change , Duda, Andrzej , New York , Poland , France , Europe",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Talking+Climate+in+a+Polish+Coal+Town%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-27&amp;volume=&amp;issue=&amp;spage=A.2&amp;au=Plumer%2C+Brad&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Germany Closes Its Last Black-Coal Mine: [List],,2160099524,Newspapers,,,," Copyright New York Times Company Dec 25, 2018", News," Dec 25, 2018",0362-4331, English, English,," New York, N.Y.","Dec 25, 2018",New York Times,2018,https://search.proquest.com/docview/2160099524?accountid=14902, B.2," Mines , Coal mining , Rites & ceremonies , Italy , Czech Republic , Poland , Turkey , Ruhr Valley , Steinmeier, Frank-Walter , Germany",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Germany+Closes+Its+Last+Black-Coal+Mine%3A+%5BList%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-25&amp;volume=&amp;issue=&amp;spage=B.2&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Ryan Zinke, Into the Sunset: [Editorial]",,2157731640,Newspapers,,," Environmental Protection Agency--EPA
924110 , Department of Justice
922130 , Arctic National Wildlife Refuge
712190
924120"," Copyright New York Times Company Dec 18, 2018"," Opinions , Editorial"," Dec 18, 2018",0362-4331, English, English, A.22," New York, N.Y.","Dec 18, 2018",New York Times,2018,https://search.proquest.com/docview/2157731640?accountid=14902, A.22," Presidents , Lobbyists , Energy , Climate change , Public lands , Conflicts of interest , Natural gas utilities , Resignations , Editorials , Political ethics , Environmental protection , Environmental policy , Trump, Donald J , Zinke, Ryan , Pruitt, Scott , United States--US , Bernhardt, David",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Ryan+Zinke%2C+Into+the+Sunset%3A+%5BEditorial%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-18&amp;volume=&amp;issue=&amp;spage=A.22&amp;au=&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Leader of Interior Dept. Resigns Under Cloud of Ethics Inquiries: [National Desk],,2156751636,Newspapers,"Turkewitz, Julie;Davenport, Coral",," Congress
921120 , Department of the Interior
924120"," Copyright New York Times Company Dec 16, 2018", News," Dec 16, 2018",0362-4331, English, English, A.1," New York, N.Y.","Dec 16, 2018",New York Times,2018,https://search.proquest.com/docview/2156751636?accountid=14902, A.1," Endangered & extinct species , Political finance , Charitable foundations , Conflicts of interest , Presidents , Tenure , Lobbyists , Political ethics , Environmental protection , Environmental policy , Natural gas utilities , Congressional elections , Resignations , Zinke, Ryan , Trump, Donald J , United States--US , Kelly, John F , Ross, Wilbur L Jr , DeVos, Betsy",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Leader+of+Interior+Dept.+Resigns+Under+Cloud+of+Ethics+Inquiries%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-16&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Turkewitz%2C+Julie%3BDavenport%2C+Coral&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Climate Accord Remains Alive As Crisis Builds: [Foreign Desk],,2156745590,Newspapers,"Plumer, Brad",," Natural Resources Defense Council
813312 , United Nations--UN
928120 , European Union
926110
928120"," Copyright New York Times Company Dec 16, 2018", News," Dec 16, 2018",0362-4331, English, English, A.1," New York, N.Y.","Dec 16, 2018",New York Times,2018,https://search.proquest.com/docview/2156745590?accountid=14902, A.1," Emissions , Diplomacy , Diplomatic & consular services , Presidents , Environmental policy , Climate change , Paris Agreement , International , Emission standards , Trump, Donald J , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Climate+Accord+Remains+Alive+As+Crisis+Builds%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-16&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Plumer%2C+Brad&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
The Class Divide on Saving the Planet: [Op-Ed],,2156745358,Newspapers,"Gross, Neil",,," Copyright New York Times Company Dec 16, 2018"," Opinions , Commentary"," Dec 16, 2018",0362-4331, English, English, SR.2," New York, N.Y.","Dec 16, 2018",New York Times,2018,https://search.proquest.com/docview/2156745358?accountid=14902, SR.2," Environmentalism , Taxes , Environmentalists , Public opinion surveys , Global warming , Environmental protection , Environmental policy , Climate change , Tax increases , Socioeconomic factors , Fuel taxes , Educational attainment , Wealth , Demonstrations & protests , Social classes , Macron, Emmanuel , France",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=The+Class+Divide+on+Saving+the+Planet%3A+%5BOp-Ed%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-16&amp;volume=&amp;issue=&amp;spage=SR.2&amp;au=Gross%2C+Neil&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
