Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
Another view: Climate groups face major obstacles,,2150291299,Newspapers,"Becker, Dan;Gerstenzang, James",," National Rifle Association--NRA
813410
813940 , Congress
921120"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Dec 6, 2018", News," Dec 6, 2018",0734-7456, English, English,," McLean, Va.","Dec 6, 2018",USA TODAY,2018,https://search.proquest.com/docview/2150291299?accountid=14902, A.5," Global warming , Firearm laws & regulations , Coal",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=Another+view%3A+Climate+groups+face+major+obstacles&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-12-06&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Becker%2C+Dan%3BGerstenzang%2C+James&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
'Climate change is a medical emergency',,2139456597,Newspapers,"Rice, Doyle",," University of Washington
611310 , United Nations--UN
928120"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Nov 30, 2018", News," Nov 30, 2018",0734-7456, English, English,," McLean, Va.","Nov 30, 2018",USA TODAY,2018,https://search.proquest.com/docview/2139456597?accountid=14902, A.3," Emergency medical care , Heat , Older people , Climate change , Massachusetts , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=%27Climate+change+is+a+medical+emergency%27&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-11-30&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Rice%2C+Doyle&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Hot, dry future will mean more fires: Climate change makes conditions that spark blazes more common",,2138987121,Newspapers,"Rice, Doyle",,," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Nov 29, 2018", News," Nov 29, 2018",0734-7456, English, English,," McLean, Va.","Nov 29, 2018",USA TODAY,2018,https://search.proquest.com/docview/2138987121?accountid=14902, A.1," Regions , Global warming , Environmental impact , Forest & brush fires , Climate change , Earth , United States--US",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=Hot%2C+dry+future+will+mean+more+fires%3A+Climate+change+makes+conditions+that+spark+blazes+more+common&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-11-29&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Rice%2C+Doyle&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Democrats will push on climate change: Policies could carry risk for leaders of new House,,2137752716,Newspapers,"King, Ledyard",," Congress
921120 , Democratic Party
813940 , Environmental Protection Agency--EPA
924110 , House of Representatives
921120"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Nov 27, 2018", News," Nov 27, 2018",0734-7456, English, English,," McLean, Va.","Nov 27, 2018",USA TODAY,2018,https://search.proquest.com/docview/2137752716?accountid=14902, A.1," Fossil fuels , Political leadership , Political parties , Global warming , Presidents , Congressional investigations , Energy , Environmental policy , Greenhouse effect , Climate change , Trump, Donald J , United States--US , Wheeler, Andrew , Pelosi, Nancy , Pallone, Frank Jr",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=Democrats+will+push+on+climate+change%3A+Policies+could+carry+risk+for+leaders+of+new+House&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-11-27&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=King%2C+Ledyard&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"In Florence's wake, a mix of tragedy and lessons",,2108917141,Newspapers,,," National Flood Insurance Program
524126 , Congress
921120"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Sep 18, 2018"," Opinions , Editorial"," Sep 18, 2018",0734-7456, English, English,," McLean, Va.","Sep 18, 2018",USA TODAY,2018,https://search.proquest.com/docview/2108917141?accountid=14902, A.5," Storms , Editorials , Hurricanes , Emergency preparedness , Storm damage , Flood insurance , Climate change , Contingency planning , Flood damage , United States--US , North Carolina",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=In+Florence%27s+wake%2C+a+mix+of+tragedy+and+lessons&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-09-18&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Science is not settled on global climate,,2103136424,Newspapers,,," Republican Party
813940 , Miami Herald
511110"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Sep 13, 2018", News," Sep 13, 2018",0734-7456, English, English,," McLean, Va.","Sep 13, 2018",USA TODAY,2018,https://search.proquest.com/docview/2103136424?accountid=14902, A.7," Presidents , Climate change , Trump, Donald J , North Carolina , United States--US , Saudi Arabia , Obama, Barack",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=Science+is+not+settled+on+global+climate&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-09-13&amp;volume=&amp;issue=&amp;spage=A.7&amp;au=&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Trump's EPA puts Big Coal ahead of Planet Earth,,2092052223,Newspapers,,," Environmental Protection Agency--EPA
924110"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Aug 23, 2018"," Opinions , Editorial"," Aug 23, 2018",0734-7456, English, English,," McLean, Va.","Aug 23, 2018",USA TODAY,2018,https://search.proquest.com/docview/2092052223?accountid=14902, A.7," Editorials , Greenhouse gases , Emissions , Carbon , Environmental regulations , Carbon dioxide , Regulatory reform , Coal-fired power plants , Greenhouse effect , Industrial plant emissions , Climate change , Natural gas , Environmental policy , Trump, Donald J , United States--US , California",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=Trump%27s+EPA+puts+Big+Coal+ahead+of+Planet+Earth&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-08-23&amp;volume=&amp;issue=&amp;spage=A.7&amp;au=&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
EPA plan would prolong life of coal plants: Opponents say they'll sue to thwart proposal,,2091009878,Newspapers,"King, Ledyard",," Clean Air Task Force
813312 , Environmental Protection Agency--EPA
924110 , Dirty Power
711130 , National Rural Electric Cooperative Association
221122"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Aug 22, 2018", News," Aug 22, 2018",0734-7456, English, English,," McLean, Va.","Aug 22, 2018",USA TODAY,2018,https://search.proquest.com/docview/2091009878?accountid=14902, A.3," Pollutants , Emissions , Carbon , Air pollution , Coal-fired power plants , Climate change , Industrial plant emissions , United States--US , Wheeler, Andrew , China , California , Matheson, Jim , McCarthy, Gina , Pruitt, Scott , Obama, Barack",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=EPA+plan+would+prolong+life+of+coal+plants%3A+Opponents+say+they%27ll+sue+to+thwart+proposal&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-08-22&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=King%2C+Ledyard&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Scott Pruitt's legacy in the EPA will live on,,2067352540,Newspapers,,," Center for Biological Diversity
813312 , Environmental Protection Agency--EPA
924110"," Copyright USA Today, a division of Gannett Satellite Information Network, Inc. Jul 10, 2018", News," Jul 10, 2018",0734-7456, English, English,," McLean, Va.","Jul 10, 2018",USA TODAY,2018,https://search.proquest.com/docview/2067352540?accountid=14902, A.5," Trump, Donald J , United States--US , Wheeler, Andrew , Pruitt, Scott",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=Scott+Pruitt%27s+legacy+in+the+EPA+will+live+on&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-07-10&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
TRUMP'S BUDGET: WHAT PRESIDENT WOULD TOSS TO PAY FOR HIS PRIORITIES,,2002110687,Newspapers,"Hafner, Josh",," Economic Development Administration
926110 , Department of Energy
926130 , Senate-Finance, Committee on
921120 , Department of Agriculture
926140 , Public Broadcasting Service
515120 , Agency for International Development--AID
928120 , Department of State
928120 , Department of the Treasury
921130 , National Aeronautics & Space Administration--NASA
927110 , Department of Housing & Urban Development--HUD
925110 , National Public Radio--NPR
515112
813910 , Department of Education
923110 , National Park Service-US
924120 , Department of Commerce
926110 , Congress
921120 , Department of Transportation
926120 , National Endowment for the Arts
813211 , Department of the Interior
924120 , National Endowment for the Humanities
813211 , National Oceanic & Atmospheric Administration--NOAA
924120 , NeighborWorks America
813410 , Department of Health & Human Services
923120", (Copyright (c) 2018 USA Today. All Rights Reserved.), News," Feb 15, 2018",0734-7456, English, English, A.4," McLean, Va.","Feb 15, 2018",USA TODAY,2018,https://search.proquest.com/docview/2002110687?accountid=14902, A.4," Affordable housing , Training , Funding , Climate change , Space telescopes , Low income groups , National parks , Nonprofit organizations , Trump, Donald J , Alaska , Latin America , Africa , New Hampshire , United States--US , Mississippi , Washington DC",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anorthcentralnews&amp;atitle=TRUMP%27S+BUDGET%3A+WHAT+PRESIDENT+WOULD+TOSS+TO+PAY+FOR+HIS+PRIORITIES&amp;title=USA+TODAY&amp;issn=07347456&amp;date=2018-02-15&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Hafner%2C+Josh&amp;isbn=&amp;jtitle=USA+TODAY&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
