Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjects,subjectTerms,FindACopy,Database
The Electric Kool-Aid Subsidy Test,,2161636933,Newspapers,,," Internal Revenue Service--IRS
921130 , Pacific Research Institute
541711 , General Motors Corp
333415
336111
336390"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Editorial"," Dec 31, 2018",0099-9660, English, English,," New York, N.Y.","Dec 31, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2161636933?accountid=14902, A.16,," Editorials , Automobile industry , Tax credits , Electric vehicles , Consumers , Automobile sales , Trump, Donald J , Connecticut , Georgia , California , Kudlow, Lawrence A , Mnuchin, Steven T",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Electric+Kool-Aid+Subsidy+Test&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-31&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Defeat in the Air at the Climate Conference,,2158146440,Newspapers,"Darwall, Rupert",," United Nations--UN
928120 , Intergovernmental Panel on Climate Change
541712
928120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Commentary"," Dec 19, 2018",0099-9660, English, English, A.17," New York, N.Y.","Dec 19, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2158146440?accountid=14902, A.17,," Interest rates , Emissions , Carbon , Presidents , Climate change , Coal , Trump, Donald J , Beijing China , Turkey , Gore, Albert Jr , Merkel, Angela , Australia , Macron, Emmanuel , Bolsonaro, Jair , Poland , Brazil , Moon Jae-in , Indonesia , Japan , South Korea",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Defeat+in+the+Air+at+the+Climate+Conference&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-19&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Darwall%2C+Rupert&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
World News: U.S. Helped to Shape Climate Rulebook --- Officials move to protect American interests after 2017 Paris accord pullout,,2157289807,Newspapers,"Peker, Emre",," European Parliament
921120 , European Union
926110
928120 , Intergovernmental Panel on Climate Change
541712
928120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Dec 17, 2018",0099-9660, English, English, A.8," New York, N.Y.","Dec 17, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2157289807?accountid=14902, A.8,," Emissions , Global warming , Greenhouse effect , Climate change , Trump, Donald J , Russia , United States--US , Xi Jinping , Saudi Arabia , Kuwait , China , California , Poland , Chile , Brazil , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+U.S.+Helped+to+Shape+Climate+Rulebook+---+Officials+move+to+protect+American+interests+after+2017+Paris+accord+pullout&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-17&amp;volume=&amp;issue=&amp;spage=A.8&amp;au=Peker%2C+Emre&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"EXCHANGE --- GE: Burned Out --- It was once America's most valuable company, the maker of power turbines, jet engines, TV shows and MRI machines. Fueled by a relentless optimism, it made and remade itself countless times. This is the story of how General Electric lost power.",,2157174790,Newspapers,"Gryta, Thomas;Mann, Ted",," General Electric Co
332510
334290
334512
334519 , Department of Justice
922130"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Dec 15, 2018",0099-9660, English, English, B.1," New York, N.Y.","Dec 15, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2157174790?accountid=14902, B.1,," Investments , Factories , Managers , Leadership , Executives , Jet engines , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=EXCHANGE+---+GE%3A+Burned+Out+---+It+was+once+America%27s+most+valuable+company%2C+the+maker+of+power+turbines%2C+jet+engines%2C+TV+shows+and+MRI+machines.+Fueled+by+a+relentless+optimism%2C+it+made+and+remade+itself+countless+times.+This+is+the+story+of+how+General+Electric+lost+power.&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-15&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Gryta%2C+Thomas%3BMann%2C+Ted&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Streetwise: Investing in Rescuing The Planet Has Pitfalls,,2155616105,Newspapers,"Mackintosh, James",," Milken Institute
541690"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Commentary"," Dec 14, 2018",0099-9660, English, English, B.1," New York, N.Y.","Dec 14, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2155616105?accountid=14902, B.1,," Stocks , Institutional investments , Emissions , Politics , Carbon , Pension funds , Climate change , Coal , Tax increases , Western Europe , New York , United States--US , Canada , Quebec Canada , Germany , United Kingdom--UK , Poland , France , Washington (state)",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Streetwise%3A+Investing+in+Rescuing+The+Planet+Has+Pitfalls&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-14&amp;volume=&amp;issue=&amp;spage=B.1&amp;au=Mackintosh%2C+James&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
U.S. News --- CAPITAL JOURNAL: Climate Change Emerges From the Shadows,,2154016932,Newspapers,"Seib, Gerald F",," Wall Street Journal
511110 , United Nations--UN
928120 , Brookings Institution
541711
541720 , Congress
921120 , Twitter Inc
519130 , Senate
921120 , NBC News Channel
515120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Commentary"," Dec 11, 2018",0099-9660, English, English, A.4," New York, N.Y.","Dec 11, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2154016932?accountid=14902, A.4,," Riots , Climate change , Global warming , Congressional committees , Trump, Donald J , Russia , Wisconsin , Kuwait , Schumer, Charles E , Pennsylvania , Poland , Michigan , France , Silicon Valley-California , New York , United States--US , Khanna, Ro , Saudi Arabia , Ocasio-Cortez, Alexandria , California , Macron, Emmanuel",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News+---+CAPITAL+JOURNAL%3A+Climate+Change+Emerges+From+the+Shadows&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-11&amp;volume=&amp;issue=&amp;spage=A.4&amp;au=Seib%2C+Gerald+F&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Press Is the Enemy of Climate,,2149555184,Newspapers,"Jenkins, Holman W, Jr",," New York Times Co
511110
511120
515112
515120 , Intergovernmental Panel on Climate Change
541712
928120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Commentary"," Dec 5, 2018",0099-9660, English, English, A.17," New York, N.Y.","Dec 5, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2149555184?accountid=14902, A.17,," Prosperity , Costs , Emissions , Climate science , Carbon , Climate change , Gross Domestic Product--GDP , Media coverage , United States--US , France",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Press+Is+the+Enemy+of+Climate&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-05&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Jenkins%2C+Holman+W%2C+Jr&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
The Carbon Tax Revolt,,2148555780,Newspapers,,,," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Editorial"," Dec 4, 2018",0099-9660, English, English, A.18," New York, N.Y.","Dec 4, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2148555780?accountid=14902, A.18,," Political activism , Emissions , Carbon , Environmental tax , Tax increases , Editorials , Canada , Germany , Trudeau, Justin , Merkel, Angela , Macron, Emmanuel , Hollande, Francois , France , Washington (state) , Inslee, Jay",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+Carbon+Tax+Revolt&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-12-04&amp;volume=&amp;issue=&amp;spage=A.18&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Business News: India's Adani Shrinks Coal Project in Australia,,2139483874,Newspapers,"Hoyle, Rhiannon",," Adani Group
212112
212210 , International Bank for Reconstruction & Development--World Bank
928120 , Morgan Stanley
523110
523120
523920 , Deutsche Bank AG
522110
551111"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Nov 30, 2018",0099-9660, English, English, B.5," New York, N.Y.","Nov 30, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2139483874?accountid=14902, B.5,," Mines , Coal mining , Australia , Queensland Australia , Great Barrier Reef , China , United States--US , India",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Business+News%3A+India%27s+Adani+Shrinks+Coal+Project+in+Australia&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-11-30&amp;volume=&amp;issue=&amp;spage=B.5&amp;au=Hoyle%2C+Rhiannon&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
World News: U.N. Says Emissions Pledges Fall Short,,2138490920,Newspapers,"Puko, Timothy",," United Nations--UN
928120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Nov 28, 2018",0099-9660, English, English, A.9," New York, N.Y.","Nov 28, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2138490920?accountid=14902, A.9,," Global warming , Gases , Emissions , Carbon , Greenhouse effect , Climate change , Natural gas , Trump, Donald J , China , Poland , United States--US",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=World+News%3A+U.N.+Says+Emissions+Pledges+Fall+Short&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-11-28&amp;volume=&amp;issue=&amp;spage=A.9&amp;au=Puko%2C+Timothy&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
